"Name","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax"
"stromdiskont.at","Energieversorger",,,,"Österreich",,,
"switch","Energieversorger",,,,"Österreich",,,
"Tigas","Energieversorger",,,,"Österreich",,,
"Tiwag","Energieversorger",,,,"Österreich",,,
"Unsere Wasserkraft","Energieversorger",,,,"Österreich",,,
"Verbund","Energieversorger",,,,"Österreich",,,
"VKW","Energieversorger",,,,"Österreich",,,
"Voltino","Energieversorger",,,,"Österreich",,,
"Vorarlberger Erdgas","Energieversorger",,,,"Österreich",,,
"Weizer Naturenergie","Energieversorger",,,,"Österreich",,,
"Wien Energie","Energieversorger",,,,"Österreich",,,
"Wiener Netze","Energieversorger",,,,"Österreich",,,
