"Firmenname ","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"UNIQA Österreich Versicherungen AG","Versicherung","Untere Donaustraße 21",1029,"Wien","Österreich",,"+43121175","+4312117519",,,
"VAV Versicherungs-Aktiengesellschaft","Versicherung","Münzgasse 6",1030,"Wien","Österreich",,"+43171607","+4317160710",,,
"VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe","Versicherung","Schottenring 30",1010,"Wien","Österreich",,"+43153139","+4315353437",,,
"VORARLBERGER LANDES-VERSICHERUNG V.a.G.","Versicherung","Bahnhofstr. 35",6901,"Bregenz","Österreich",,"+435574412","+43557441299",,,
"WIENER STÄDTISCHE VERSICHERUNG AG Vienna Insurance Group","Versicherung","Schottenring 30",1010,"Wien","Österreich",,,,,,
"Wüstenrot Versicherungs-Aktiengesellschaft","Versicherung","Alpenstraße 61",5020,"Salzburg","Österreich",,"+436626386","+436626386652",,,
"Zürich Versicherungs-Aktiengesellschaft","Versicherung","Schwarzenbergpl. 15",1010,"Wien","Österreich",,"+43150125","+4315050485",,,
"A. Stadlbauer (gegr. 1845) Tankstellen Bau- und Betriebsgesellschaft m.b.H.","Finanzinstitut","Rainerstraße 15",4600,"Wels","Österreich",,,,,,
"abcfinance GmbH","Finanzinstitut","Wagenseilgasse 3",1120,"Wien","Österreich",,,,,,
"ACP Financial Solutions GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"ACP IT-Finanzierungs GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"Adagio Leasing GmbH","Finanzinstitut","Hauptplatz 13",8280,"Fürstenfeld","Österreich",,,,,,
"Adoria Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"AE Immobilien GmbH","Finanzinstitut","Austriastraße 6",8720,"Knittelfeld","Österreich",,,,,,
"AELLO Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"AGIOS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"AGITO Immobilien-Leasing GesmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"AKRISIOS Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"ALARIS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Alea-Grundstückverwaltung Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Allegro Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"All-In-One Vermietung GmbH","Finanzinstitut","Vordere Zollamtsstraße 13",1030,"Wien","Österreich",,,,,,
"ALMS Leasing GmbH.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Alphabet Austria Fuhrparkmanagement GmbH","Finanzinstitut","Siegfried Marcus-Str. 24",5020,"Salzburg","Österreich",,,,,,
"Altstadt Hotelbetriebs GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"ALV Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"""Am Hafen"" Sutterlüty GmbH & Co","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Am Ölberg Liegenschaftsverwertungs GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"AMICUS Immorent Kommunalleasing GmbH","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"AMYKOS RBI Leasing-Immobilien GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"ANTARES Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"APUS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"ARCANA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Arno Grundstücksverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"ARTEMIA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"ARTES Grundstückvermietungs GmbH","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"AS-Alpha Grundstücksverwaltung Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"AS-WECO Grundstückverwaltung Gesellschaft m.b.H.","Finanzinstitut","Promenade 11-13",4020,"Linz","Österreich",,,,,,
"AS-WECO 4 Grundstückverwaltung Gesellschaft m.b.H.","Finanzinstitut","Hummelstraße 1",5020,"Salzburg","Österreich",,,,,,
"Atria Pflegehilfe GmbH & Co KG","Finanzinstitut","Hauptplatz 13",8280,"Fürstenfeld","Österreich",,,,,,
"Augarten - Hotel - Errichtungsgesellschaft m.b.H.","Finanzinstitut","Ungargasse 60",1030,"Wien","Österreich",,,,,,
"AURIGA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Austria Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Autohaus Beteiligungs GmbH","Finanzinstitut","Erdbergstraße 189-193",1030,"Wien","Österreich",,,,,,
"Autopark Grundverwertungs GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Aventin Grundstückverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"AVION-Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"BA CA SECUND Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BA Eurolease Beteiligungsgesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BA-CA Andante Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BACA CENA Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BACA HYDRA Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BACA KommunalLeasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BACA Leasing Carmen GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BA-CA Leasing Drei Garagen GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BA-CA Leasing MAR Immobilien GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BACA Leasing und Beteiligungsmanagement GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BA-CA Presto Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BA/CA-Leasing Beteiligungen GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BAL CARINA Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BAL DEMETER Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BAL HESTIA Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BAL HORUS Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BAL HYPNOS Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BAL LETO Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BAL OSIRIS Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BAL SOBEK Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Bank Austria Creditanstalt Leasing Immobilienanlagen GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Bank Austria Leasing ARGO Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Bank Austria Leasing HERA Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Bank Austria Leasing Ikarus Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Bank Austria Leasing MEDEA Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Baulandentwicklung Gdst 1682/8 GmbH & Co OEG","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Baumgartner Höhe RBI Leasing-Immobilien GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"BAWAG P.S.K. IMMOBILIEN GmbH","Finanzinstitut","Georg Coch-Platz 2",1010,"Wien","Österreich",,,,,,
"BAWAG P.S.K. IMMOBILIENLEASING GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"BAWAG P.S.K. Kommerzleasing GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"BAWAG P.S.K. LEASING GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"BAWAG P.S.K. LEASING GmbH & Co. MOBILIENLEASING KG.","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"BAWAG P.S.K. LEASING Holding GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"BAWAG P.S.K. MOBILIENLEASING GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"BB Leasing GmbH","Finanzinstitut","Hauptstraße 33a/2. Stock",7000,"Eisenstadt","Österreich",,,,,,
"BB LEASING HOLDING GmbH","Finanzinstitut","Neusiedler Straße 33",7000,"Eisenstadt","Österreich",,,,,,
"BBG Beratungs- und Beteiligungsgesellschaft m.b.H.","Finanzinstitut","St. Julien Str. 12",5020,"Salzburg","Österreich",,,,,,
"Berger Truck Service Verwaltungs GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Beteiligungsverwaltungsgesellschaft der Bank Austria Creditanstalt Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Betriebsliegenschaft Eferding 4070 GmbH","Finanzinstitut","Landstraße 38",4020,"Linz","Österreich",,,,,,
"BGM - IMMORENT Aktiengesellschaft & Co KG","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"BKS-Leasing Gesellschaft m.b.H.","Finanzinstitut","St. Veiter Ring 43",9020,"Klagenfurt","Österreich",,,,,,
"BMW Austria Leasing GmbH","Finanzinstitut","Siegfried Marcus-Str. 24",5020,"Salzburg","Österreich",,,,,,
"BNP PARIBAS Lease Group GmbH & Co KG","Finanzinstitut","Vordere Zollamtsstraße 13",1030,"Wien","Österreich",,,,,,
"Bonus Immobilientreuhand GmbH","Finanzinstitut","Adlerstraße 1",4600,"Wels","Österreich",,,,,,
"Border Leasing Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Anastasius Grün-Gasse 49",1180,"Wien","Österreich",,,,,,
"Brewo Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"BRL Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"BTV Leasing Gesellschaft m.b.H.","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Anlagenleasing 1 GmbH","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Anlagenleasing 2 GmbH","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Anlagenleasing 3 Gesellschaft m.b.H.","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Anlagenleasing 4 GmbH","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Real-Leasing Gesellschaft m.b.H.","Finanzinstitut","Tegetthoffstraße 7",1010,"Wien","Österreich",,,,,,
"BTV-Real-Leasing I Gesellschaft m.b.H.","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Real-Leasing II Gesellschaft m.b.H.","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Real-Leasing III Nachfolge GmbH & Co KG","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Real-Leasing IV Gesellschaft m.b.H.","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Real-Leasing V Gesellschaft mbH","Finanzinstitut","Stadtforum 1",6020,"Innsbruck","Österreich",,,,,,
"BTV-Real-Leasing VI Gesellschaft mbH","Finanzinstitut","Fiecht Au 30",6134,"Vomp","Österreich",,,,,,
"Burgenländische Kommunalgebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"bx ISAT GmbH in Liqu.","Finanzinstitut","c/o DORDA BRUGGER JORDIS Rechtsanwälte GmbH, Universitätsring 10",1010,"Wien","Österreich",,,,,,
"B52 RBI Leasing-Immobilien GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"C & I Leasing Gesellschaft m.b.H.","Finanzinstitut","Cottagegasse 1/4",1180,"Wien","Österreich",,,,,,
"CADO Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"CAE Immobilien GmbH","Finanzinstitut","Laxenburgerstraße 244",1230,"Wien","Österreich",,,,,,
"""CALCULATOR Grundstückvermietungs Gesellschaft m.b.H.""","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"CALDO Grundstücksverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"CA-Leasing Senioren Park GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Alpha Grundstückverwaltung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Anlagen Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Delta Grundstückverwaltung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Gamma Grundstückverwaltung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Grundstückverwaltung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Immobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Immobilien Leasing GmbH & Co. Projekt Vier OG","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Immobilien Leasing GmbH & Co. 1120 Wien, Schönbrunner Schlossstraße 38-42 OG","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG Minal Grundstückverwaltung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG 307 Mobilien Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG 443 Grundstückverwaltung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG 445 Grundstückverwaltung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALG 451 Grundstückverwaltung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CALLIDUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"CANOPA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Cargobull Finance GmbH","Finanzinstitut","Bayernstraße 147",5071,"Wals bei Salzburg","Österreich",,,,,,
"CarPartner Leasing GmbH","Finanzinstitut","Bauernstr. 9",4600,"Wels","Österreich",,,,,,
"Casinos Austria AG Liegenschaftsverwaltungs- und Leasinggesellschaft m.b.H.","Finanzinstitut","Rennweg 44",1038,"Wien","Österreich",,,,,,
"Castellani Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CERES Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Charade Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Chefren Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Cheops Immobilien GmbH","Finanzinstitut","Kohlmarkt 6 / Wallnerstraße 2",1010,"Wien","Österreich",,,,,,
"Ciconia Immobilienleasing GmbH","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"Cinci-Immorent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"CINOVA RBI Leasing-Immobilien GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Civitas Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CLIVUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"CNH Industrial Capital Europe GmbH","Finanzinstitut","Vordere Zollamtsstraße 13",1030,"Wien","Österreich",,,,,,
"COL GmbH","Finanzinstitut","Perfektastraße 102",1230,"Wien","Österreich",,,,,,
"Columbia Beteiligungs GmbH","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"COMITAS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Communa - Leasing Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CONATUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"""Concordia"" Liegenschaftsverwaltungs- und Vermietungsgesellschaft m.b.H.","Finanzinstitut","Schwindgasse 7/11",1040,"Wien","Österreich",,,"+43512577210",,,
"Contra Leasing-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"CPB ALPHA Anlagen Leasing GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CPB BETA Anlagen Leasing GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CPB DELTA Anlagen Leasing GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CPB DREI Anlagen Leasing GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CPB EPSILON Anlagen Leasing GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CPB Grundstücks und Mobilien Vermietungs GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CPB JOTA Anlagen Leasing GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CPB OMIKRON Anlagen Leasing GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CPB Realitäten und Mobilien Vermietungs GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"CULINA Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"CUPIDO Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"CURIA Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"CURO Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"CVG Immobilien GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"DAILY Tiefkühlhaus ErrichtungsgmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"DENAR-Immorent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Denzel Leasing Gesellschaft mbH","Finanzinstitut","Erdbergstraße 189-193",1030,"Wien","Österreich",,,,,,
"Deutsche Leasing Austria GmbH","Finanzinstitut","Faulmanngasse 4/Top 2",1040,"Wien","Österreich",,,,,,
"DIE ERSTE Leasing Grundaufschließungs- und Immobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"DIE ERSTE Leasing Grundbesitzgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
