Name,Name_Lang,Branche,Typ,Adresse,PLZ,Ort,Ebene,E-Mail,Tel,Fax,Pruefung
BVT,Bundesamt für Verfassungsschutz und Terrorismusbekämpfung,Bundesbehörde,Bundesamt,"Herrengasse 7, Postfach 100",1010,Wien,Bund,BMI-II-BVT@bmi.gv.at,+431531260,+43153126108613,20.08.2020
Patentamt,Österreichisches Patentamt,Bundesbehörde,Bundesamt,Dresdner Straße 87,1200,Wien,Bund,info@patentamt.at,+431534240,,20.08.2020
Rechnungshof,Rechnungshof Österreich,Bundesbehörde,Bundesamt,Dampfschiffstraße 2,1031,Wien Postfach,Bund,office@rechnungshof.gv.at,+431711710,,20.08.2020
Schienen Control,Österreichische Gesellschaft für Schienenmarktregulierung mit beschränkter Haftung,Bundesbehörde,Bundesamt,Linke Wienzeile 4/1/6,1060,Wien,Bund,office@schienencontrol.gv.at,+4315050707,,20.08.2020
Umweltbundesamt,Umweltbundesamt GmbH,Bundesbehörde,Bundesamt,Spittelauer Lände 5,1090,Wien,Bund,datenschutzbeauftragter@umweltbundesamt.at,+43131304,+431313045400,20.08.2020
Österreichische Nationalbank,Österreichische Nationalbank,Bundesbehörde,Bundesamt,Otto-Wagner-Platz 3,1090,Wien,Bund,posteingang@oenb.at,+431404200,+43140420042399,20.08.2020
BFW,"Bundesforschungs- und Ausbildungszentrum für Wald, Naturgefahren und Landschaft sowie Bundesamt für Wald",Bundesbehörde,Bundesanstalt,Seckendorff-Gudent-Weg 8,1131,Wien Postfach,Bund,direktion@bfw.gv.at,+431878381250,+431878381250,20.08.2020
BHAG,Buchhaltungsagentur des Bundes,Bundesbehörde,Bundesanstalt,Dresdner Straße 89,1200,Wien,Bund,ds@bhag.gv.at,+4350506859843,,20.08.2020
Bundesamt für Weinbau,Bundesamt für Weinbau,Bundesbehörde,Bundesanstalt,Gölbeszeile 1,7000,Eisenstadt,Bund,office@bawb.at,+43268265905,+4326826590542,20.08.2020
Bundesanstalt für Agrarwirtschaft und Bergbauernfragen,Bundesanstalt für Agrarwirtschaft und Bergbauernfragen,Bundesbehörde,Bundesanstalt,Dietrichgasse 27,1030,Wien,Bund,office@bab.gv.at,+43171100637415,+43171100637490,20.08.2020
E-Control,Energie-Control Austria für die Regulierung der Elektrizitäts- und Erdgaswirtschaft,Bundesbehörde,Bundesanstalt,Rudolfsplatz 13a,1010,Wien,Bund,office@e-control.at,+431247240,+43124724900,20.08.2020
GBA,Geologische Bundesanstalt,Bundesbehörde,Bundesanstalt,Neulinggasse 38,1030,Wien,Bund,office@geologie.ac.at,+4317125674,+431712567456,20.08.2020
Gedenkstätte Mauthausen,Gedenkstätte Mauthausen,Bundesbehörde,Bundesanstalt,"Argentinierstraße 13, Top 103+104",1040,Wien,Bund,office@mauthausen-memorial.org,+4313763000100,,20.08.2020
JBA,Justizbetreuungsagentur,Bundesbehörde,Bundesanstalt,Universitätsstraße 5/7,1010,Wien,Bund,office@jba.gv.at,+4319089022300,+4319089022310,20.08.2020
Statistik Austria,Bundesanstalt Statistik Österreich ,Bundesbehörde,Bundesanstalt,Guglgasse 13,1110,Wien,Bund,office@statistik.gv.at,+431711280,+431711287728,20.08.2020
ZAMG,Zentralanstalt für Meteorologie und Geodynamik ,Bundesbehörde,Bundesanstalt,Hohe Warte 38,1190,Wien,Bund,dion@zamg.ac.at,+43136026,+4313691233,20.08.2020
Beschussamt Ferlach,Beschussamt Ferlach,Bundesbehörde,Bundesbehörde,Maschinenhausgasse 3-4,9170,Ferlach,Bund,office-ferlach@beschussamt.gv.at,+4342272576,+4342274174,20.08.2020
Beschussamt Wien,Beschussamt Wien,Bundesbehörde,Bundesbehörde,Wielandweg 27,1220,Wien,Bund,office-wien@beschussamt.gv.at,+43173462680,+431734626812,20.08.2020
Bundesdenkmalamt,Bundesdenkmalamt,Bundesbehörde,Bundesbehörde,"Hofburg, Säulenstiege",1010,Wien,Bund,service@bda.gv.at,+43153415,,20.08.2020
Bundeskanzleramt,Bundeskanzleramt,Bundesbehörde,Bundesbehörde,Ballhausplatz 2,1010,Wien,Bund,service@bka.gv.at,+431531150,+43153115204274,20.08.2020
Datenschutzbehörde,Österreichische Datenschutzbehörde,Bundesbehörde,Bundesbehörde,Barichgasse 40-42,1030,Wien,Bund,dsb@dsb.gv.at,+431521522569,,20.08.2020
Sozialministeriumservice,Bundesamt für Soziales und Behindertenwesen – Sozialministeriumservice,Bundesbehörde,Bundesbehörde,Babenbergerstraße 5,1010,Wien,Bund,post@sozialministeriumservice.at,+4359988,+431588312266,20.08.2020
BMAFJ,"Bundesministerium für Arbeit, Familie und Jugend",Bundesbehörde,Bundesministerium,Untere Donaustraße 13 - 15,1020,Wien,Bund,office@bmafj.gv.at,+431711000,,20.08.2020
BMBWF,"Bundesministerium für Bildung, Wissenschaft und Forschung",Bundesbehörde,Bundesministerium,Minoritenplatz 5,1010,Wien,Bund,ministerium@bmbwf.gv.at,+431531200,+431531203099,20.08.2020
BMDW,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Bundesbehörde,Bundesministerium,Stubenring 1,1010,Wien,Bund,service@bmdw.gv.at,+431711000,,20.08.2020
BMEIA,Bundesministerium für europäische und internationale Angelegenheiten,Bundesbehörde,Bundesministerium,Minoritenplatz 8,1010,Wien,Bund,post@bmeia.gv.at,+43501150,+43501159,20.08.2020
BMF,Bundesministerium für Finanzen,Bundesbehörde,Bundesministerium,Johannesgasse 5,1010,Wien,Bund,post@bmf.gv.at,+431514330,,20.08.2020
BMI,Bundesministerium für Inneres,Bundesbehörde,Bundesministerium,Herrengasse 7,1010,Wien,Bund,post@bmi.gv.at,+431531260,+43153126108613,20.08.2020
BMJ,Bundesministerium für Justiz,Bundesbehörde,Bundesministerium,Museumstraße 7,1070,Wien,Bund,post@bmj.gv.at,+4315263686,,20.08.2020
BMK,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",Bundesbehörde,Bundesministerium,Radetzkystraße 2,1030,Wien,Bund,servicebuero@bmk.gv.at,+43171162650,,20.08.2020
BMKOES,"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",Bundesbehörde,Bundesministerium,Radetzkystraße 2,1030,Wien,Bund,buergerservice@bmkoes.gv.at,+431716060,,20.08.2020
BMLRT,"Bundesministerium für Landwirtschaft, Regionen und Tourismus",Bundesbehörde,Bundesministerium,Stubenring 1,1010,Wien,Bund,office@bmlrt.gv.at,+431711000,+43171100606503,20.08.2020
BMLV,Bundesministerium für Landesverteidigung,Bundesbehörde,Bundesministerium,Roßauer Lände 1,1090,Wien,Bund,buergerservice@bmlv.gv.at,+43502011021160,,20.08.2020
Sozialministerium,"Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz",Bundesbehörde,Bundesministerium,Stubenring 1,1010,Wien,Bund,post@sozialministerium.at,+431711000,+4317158258,20.08.2020
Bundesverwaltungsgericht,Bundesverwaltungsgericht,Bundesbehörde,Gericht,Erdbergstraße 192-196,1030,Wien,Bund,einlaufstelle@bvwg.gv.at,+431601490,+431711238891541,20.08.2020
Oberster Gerichtshof,Oberster Gerichtshof,Bundesbehörde,Gericht,Schmerlingplatz 11,1010,Wien,Bund,christoph.brenn@justiz.gv.at,+431521520,+431521523710,20.08.2020
Verfassungsgerichtshof,Verfassungsgerichtshof,Bundesbehörde,Gericht,Freyung 8,1010,Wien,Bund,vfgh@vfgh.gv.at,+431531220,+431531220499,20.08.2020
Verwaltungsgerichtshof,Verwaltungsgerichtshof,Bundesbehörde,Gericht,"Judenplatz 11, Postfach 50",1016,Wien,Bund,office@vwgh.gv.at,+431531110,+43153111101508,20.08.2020
BFTK,Büro für Funkanlagen und Telekommunikationsendeinrichtungen,Bundesbehörde,Nachgeordnete Behörde,Radetzkystraße 2,1030,Wien,Bund,bftk@bmvit.gv.at,+43171162654040,+43171162654049,20.08.2020
Bundesamt für Wasserwirtschaft,Bundesamt für Wasserwirtschaft,Bundesbehörde,Nachgeordnete Behörde,Scharfling 18,5310,Mondsee,Bund,direktion@baw.at,+43623238470,+436232384733,20.08.2020
Bundeskellereiinspektion,Bundeskellereiinspektion,Bundesbehörde,Nachgeordnete Behörde,Marxergasse 2,1030,Wien,Bund,elfriede.gumprecht@bundeskellereiinspektion.at,+43171100637025,+43171100637054,20.08.2020
Fernmeldebehörde Republik Österreich,Fernmeldebehörde Republik Österreich,Bundesbehörde,Nachgeordnete Behörde,Radetzkystraße 2,1030,Wien,Bund,fb@bmvit.gv.at,+43171162650,+4317130326,20.08.2020
Heerespersonalamt,Heerespersonalamt,Bundesbehörde,Nachgeordnete Behörde,Panikengasse 2,1163,Wien,Bund,hpa.wien1@bmlvs.gv.at,+4350201991650,,20.08.2020
Hofmusikkapelle,Hofmusikkapelle,Bundesbehörde,Nachgeordnete Behörde,"Hofburg, Schweizerhof",1010,Wien,Bund,office@hofmusikkapelle.gv.at,+4315339927,+431533992780,20.08.2020
KommAustria,KommAustria,Bundesbehörde,Nachgeordnete Behörde,Mariahilfer Straße 77-79,1060,Wien,Bund,rtr@rtr.at,+431580580,+431580589191,20.08.2020
RTR,Rundfunk und Telekom Regulierungs-GmbH,Bundesbehörde,Nachgeordnete Behörde,Mariahilfer Straße 77-79,1060,Wien,Bund,rtr@rtr.at,+431580580,+431580589191,20.08.2020
Sicherheitsuntersuchungsstelle des Bundes,Sicherheitsuntersuchungsstelle des Bundes,Bundesbehörde,Nachgeordnete Behörde,"Radetzkystraße 2, Postfach 206",1000,Wien,Bund,sub@bmvit.gv.at,+43171162657777,+43171162659298,20.08.2020
Österreichische Bundesgärten,HBFLA für Gartenbau Schönbrunn und Österreichische Bundesgärten,Bundesbehörde,Nachgeordnete Behörde,Grünbergstraße 24,1130,Wien,Bund,office@bundesgaerten.at,+43181359500,+431813595099,20.08.2020
AGES,Österreichische Agentur für Gesundheit und Ernährungssicherheit GmbH,Bundesbehörde,Öffentliches Unternehmen,Spargelfeldstrasse 191,1220,Wien,Bund,management@ages.at,+43505550,+435055522019,20.08.2020
AMS,Arbeitsmarktservice,Bundesbehörde,Öffentliches Unternehmen,Treustraße 35-43,1200,Wien,Bund,ams.oesterreich@ams.at,+4350904199,+4350904188,20.08.2020
Agentur für Rechnungswesen,Agentur für Rechnungswesen GmbH,Bundesbehörde,Öffentliches Unternehmen,Dresdner Straße 89,1200,Wien,Bund,office@arw.gv.at,+43505060,,20.08.2020
Landwirtschaftliche Bundesversuchswirtschaften,Landwirtschaftliche Bundesversuchswirtschaften GmbH,Bundesbehörde,Öffentliches Unternehmen,Rottenhauserstraße 32,3250,Wieselburg,Bund,office@bvw.at,+437416522410,+4374165224115,21.08.2020
Spanische Hofreitschule – Lipizzanergestüt Piber,Spanische Hofreitschule – Lipizzanergestüt Piber,Bundesbehörde,Öffentliches Unternehmen,Michaelerplatz 1,1010,Wien,Bund,office@srs.at,+4315339031,,21.08.2020
Austria Tabak,JTI Austria GmbH,Erzeugung,Dienstleister,Erdberger Lände 26a/71,1030,Wien,Bund,konsumentenservice@jti.com,+431313421,,22.08.2020
Dachverband der Sozialversicherungsträger,Dachverband der Sozialversicherungsträger,Gesundheit,Dienstleister,Kundmanngasse 21,1030,Wien,Bund,posteingang.allgemein@sozialversicherung.at,+431711320,,20.08.2020
ELGA,ELGA GmbH,Gesundheit,Dienstleister,Treustraße 35-43/ Stg. 4/ 1. Stock,1200,Wien,Bund,office@elga.gv.at,+4312127050,,20.08.2020
HK-SKA,HK-SKA Betriebs-GmbH,Gesundheit,Dienstleister,Gartenstraße 9,4820,Bad Ischl,Bund,info@herzreha.at,+436132278010,+436132278018190,20.08.2020
IEF-Service,IEF-Service GmbH,Gesundheit,Dienstleister,Linke Wienzeile 246,1150,Wien,Bund,office@insolvenzentgelt.at,+43120512120,,20.08.2020
IT-Services der Sozialversicherung,IT-Services der Sozialversicherung GmbH,Gesundheit,Dienstleister,Johann-Böhm-Platz 1,1020,Wien,Bund,office@itsv.at,+43501248445600,+43501248445080,20.08.2020
SVC,Sozialversicherungs-Chipkarten Betriebs- und Errichtungsgesellschaft m.b.H.,Gesundheit,Dienstleister,Ernst-Melchior-Gasse 22,1020,Wien,Bund,info@svc.co.at,+43501247140,+43501247143776,20.08.2020
SVD,SVD Büromanagement GmbH,Gesundheit,Dienstleister,Dresdner Straße 45,1200,Wien,Bund,office@svdgmbh.at,+4317981414,+4317981414200,20.08.2020
Vamed,Vamed AG,Gesundheit,Dienstleister,Sterngasse 5,1230,Wien,Bund,office@vamed.com,+431601270,+43160127108,22.08.2020
AUVA,Allgemeine Unfallversicherungsanstalt,Gesundheit,Sozialversicherungsträger,Adalbert-Stifter-Straße 65,1200,Wien,Bund,kontakt@auva.at,+435939320000,+435939320606,20.08.2020
BUAK,Bauarbeiter- Urlaubs- und Abfertigungskasse,Gesundheit,Sozialversicherungsträger,Kliebergasse 1A,1050,Wien,Bund,kommunikation@buak.at,+43579579,,20.08.2020
BVAEB,"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau",Gesundheit,Sozialversicherungsträger,Josefstätter Straße 80,1080,Wien,Bund,postoffice@bvaeb.sv.at,+4350405,+435040522900,20.08.2020
PVA,Pensionsversicherungsanstalt,Gesundheit,Sozialversicherungsträger,Friedrich-Hillegeist-Straße 1,1021,Wien Postfach,Bund,pva@pensionsversicherung.at,+4350303,+435030328850,20.08.2020
SVS,Sozialversicherungsanstalt der Selbstständigen,Gesundheit,Sozialversicherungsträger,Wiedner Hauptstraße 84-86,1051,Wien Postfach,Bund,dsb@svs.at,+4350808808,,20.08.2020
VA des österreichischen Notariates,Versorgungsanstalt des österreichischen Notariates,Gesundheit,Sozialversicherungsträger,"Florianigasse 2, Postfach 15",1080,Wien,Bund,office@van.co.at,+43140513810,,20.08.2020
ÖGK,Österreichische Gesundheitskasse,Gesundheit,Sozialversicherungsträger,"Haidingergasse 1, Postfach 7",1006,Wien,Bund,office@oegk.at,+43507660,,20.08.2020
APK Vorsorgekasse,APK Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Thomas-Klestil-Platz 13,1030,Wien,Bund,office@apk-vk.at,+435027550,+43502755609,20.08.2020
Allianz Vorsorgekasse,Allianz Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Hietzinger Kai 101-105,1130,Wien,Bund,servicekasse@allianz.at,+435900980181,+435900940128,20.08.2020
BONUS Vorsorgekasse,BONUS Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Traungasse 14-16,1030,Wien,Bund,kundenservice@bonusvorsorge.at,+4319949974,+43199499741999,20.08.2020
BUAK Betriebliche Vorsorgekasse,BUAK Betriebliche Vorsorgekasse GesmbH,Gesundheit,Vorsorgekasse,Kliebergasse 1a,1050,Wien,Bund,buak-bvk@buak.at,+435795793000,+4357957993099,20.08.2020
Niederösterreichische Vorsorgekasse,Niederösterreichische Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Neue Herrengasse 10,3100,St. Pölten,Bund,office@noevk.at,+432742905557100,+432742905557120,22.08.2020
VBV – Vorsorgekasse,VBV – Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Obere Donaustraße 49-53,1020,Wien,Bund,info@vorsorgekasse.at,+431217018500,+4312170178260,20.08.2020
Valida Plus,Valida Plus AG,Gesundheit,Vorsorgekasse,Mooslackengasse 12,1190,Wien,Bund,office@valida.at,+431316480,+431316486010,20.08.2020
fair-finance Vorsorgekasse,fair-finance Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Alser Straße 21,1080,Wien,Bund,office@fair-finance.at,+43140571710,+431405717171,20.08.2020
ASFINAG,Autobahnen- und Schnellstraßen Finanzierungs-Aktiengesellschaft,Infrastruktur,Dienstleister,"Rotenturmstraße 5-9, Postfach 983",1011,Wien Postfach,Bund,office@asfinag.at,+435010810000,+435010810020,21.08.2020
BIG,Bundesimmobiliengesellschaft m.b.H.,Infrastruktur,Dienstleister,Trabrennstraße 2c,1020,Wien,Bund,office@big.at,+43502440,+43502442211,21.08.2020
BRZ,Bundesrechenzentrum GmbH,Infrastruktur,Dienstleister,Hintere Zollamtsstraße 4,1030,Wien,Bund,kommunikation@brz.gv.at,+431711230,,21.08.2020
Bundesbeschaffung,Bundesbeschaffung GmbH,Infrastruktur,Dienstleister,Lassallestraße 9b,1020,Wien,Bund,office@bbg.gv.at,+431245700,+4312457099,21.08.2020
Bundesstelle für Sektenfragen,Bundesstelle für Sektenfragen,Infrastruktur,Dienstleister,Wollzeile 12/2/19,1010,Wien,Bund,bundesstelle@sektenfragen.at,+4315130460,+431513046030,21.08.2020
GIS,GIS Gebühren Info Service GmbH,Infrastruktur,Dienstleister,"Faulmanngasse 4, Postfach 1000",1051,Wien Postfach,Bund,kundenservice@gis.at,+4350200,+4350200300,21.08.2020
LFRZ,"Land-, forst- und wasserwirtschaftliches Rechenzentrum GmbH",Infrastruktur,Dienstleister,Hintere Zollamtsstraße 4,1030,Wien,Bund,office@lfrz.gv.at,+431331760,,20.08.2020
OeSD,Österreichische Staatsdruckerei GmbH,Infrastruktur,Dienstleister,Tenschertstraße 7,1239,Wien,Bund,office@staatsdruckerei.at,+431206660,+43120666100,22.08.2020
WSR,Wirtschafts- und Sozialwissenschaftliches Rechenzentrum,Infrastruktur,Dienstleister,Arsenal Objekt 20,1030,Wien,Bund,info@wsr.ac.at,+4317981122,+431798112250,20.08.2020
ÖBAG,Österreichische Beteiligungs AG,Infrastruktur,Dienstleister,Kolingasse 14-16,1090,Wien,Bund,kontakt@oebag.gv.at,+431711140,,21.08.2020
Österreichische Bundesforste,Österreichische Bundesforste AG,Infrastruktur,Dienstleister,Pummergasse 10-12,3002,Purkersdorf,Bund,bundesforste@bundesforste.at,+4322316000,,21.08.2020
ORF,Österreichischer Rundfunk,Infrastruktur,Öffentliches Unternehmen,Würzburggasse 30,1136,Wien,Bund,kundendienst@orf.at,+431878780,+4318787830,21.08.2020
Agentur für Passagier- und Fahrgastrechte,Österreichische Gesellschaft für Schienenmarktregulierung mit beschränkter Haftung,Interessensvertretung,Dienstleister,Linke Wienzeile 4/1/6,1060,Wien,Bund,office@schienencontrol.gv.at,+4315050707,,21.08.2020
GBH,Gewerkschaft Bau-Holz,Interessensvertretung,Gewerkschaft,Johann-Böhm-Platz 1,1020,Wien,Bund,bau-holz@gbh.at,+4315344459110,,22.08.2020
GPA-djp,"Gewerkschaft der Privatangestellten, Druck, Journalismus, Papier",Interessensvertretung,Gewerkschaft,Alfred-Dallinger-Platz 1,1034,Wien,Bund,service@gpa-djp.at,+4350301301,,22.08.2020
GPF,Gewerkschaft der Post- und Fernmeldebediensteten,Interessensvertretung,Gewerkschaft,Johann-Böhm-Platz 1,1020,Wien,Bund,gpf@gpf.at,+4315344449440,,22.08.2020
GÖD,Gewerkschaft Öffentlicher Dienst,Interessensvertretung,Gewerkschaft,Teinfaltstraße 7,1010,Wien,Bund,goed@goed.at,+431534540,,22.08.2020
PROGE,Produktionsgewerkschaft,Interessensvertretung,Gewerkschaft,Johann-Böhm-Platz 1,1020,Wien,Bund,proge@proge.at,+43153444690,,22.08.2020
vida,Gewerkschaft vida,Interessensvertretung,Gewerkschaft,Johann-Böhm-Platz 1,1020,Wien,Bund,info@vida.at,+43153444790,,22.08.2020
younion,younion_Die Daseinsgewerkschaft,Interessensvertretung,Gewerkschaft,Maria-Theresien-Straße 11,1090,Wien,Bund,infocenter@younion.at,+431313168300,,22.08.2020
ÖGB,Österreichischer Gewerkschaftsbund,Interessensvertretung,Gewerkschaft,Johann-Böhm-Platz 1,1020,Wien,Bund,oegb@oegb.at,+4315344439,,22.08.2020
Apothekerkammer,Österreichische Apothekerkammer,Interessensvertretung,Kammer,Spitalgasse 31,1090,Wien,Bund,info@apotheker.or.at,+43140414100,+4314088440,18.08.2020
Arbeiterkammer,Kammer für Arbeiter und Angestellte für Wien als Büro der Bundesarbeitskammer,Interessensvertretung,Kammer,Prinz-Eugen-Straße 20-22,1040,Wien,Bund,akmailbox@akwien.at,+431501650,,18.08.2020
Bundeskammer der ZiviltechnikerInnen,Bundeskammer der ZiviltechnikerInnen,Interessensvertretung,Kammer,Karlsgasse 9/2,1040,Wien,Bund,office@arching.at,+4315055807,+4315053211,18.08.2020
Kammer der Steuerberater und Wirtschaftsprüfer,Kammer der Steuerberater und Wirtschaftsprüfer,Interessensvertretung,Kammer,Schönbrunner Straße 222-228,1120,Wien,Bund,office@ksw.or.at,+431811730,+43181173100,18.08.2020
Notariatskammer,Österreichische Notariatskammer,Interessensvertretung,Kammer,Landesgerichtsstraße 20,1010,Wien,Bund,kammer@notar.or.at,+43140245090,+4314063475,18.08.2020
Patentanwaltskammer,Österreichische Patentanwaltskammer,Interessensvertretung,Kammer,Linke Wienzeile 4/1/9,1060,Wien,Bund,info@oepak.at,+4315234382,+438109554103327,18.08.2020
Pharmazeutische Gehaltskasse,Pharmazeutische Gehaltskasse für Österreich,Interessensvertretung,Kammer,Spitalgasse 31,1090,Wien,Bund,office@gk.or.at,+43140414200,+43140414249,18.08.2020
Tierärztekammer,Österreichische Tierärztekammer,Interessensvertretung,Kammer,Hietzinger Kai 87,1130,Wien,Bund,oe@tieraerztekammer.at,+4315121766,+4315121470,18.08.2020
Wirtschaftskammer,Wirtschaftskammer Österreich,Interessensvertretung,Kammer,Wiedner Hauptstraße 63,1045,Wien,Bund,office@wko.at,+43590900,+43590900250,18.08.2020
Zahnärztekammer,Österreichische Zahnärztekammer,Interessensvertretung,Kammer,Kohlmarkt 11/6,1010,Wien,Bund,office@zahnaerztekammer.at,+4350511,+43505111167,18.08.2020
Ärztekammer,Österreichische Ärztekammer,Interessensvertretung,Kammer,Weihburggasse 10-12,1010,Wien,Bund,post@aerztekammer.at,+431514063000,+431514063042,18.08.2020
Österreichischer Landarbeiterkammertag,Österreichischer Landarbeiterkammertag,Interessensvertretung,Kammer,Marco d´Avianogasse 1/1,1015,Wien,Bund,oelakt@landarbeiterkammer.at,+4315122331,+431512233170,18.08.2020
Österreichischer Rechtsanwaltskammertag,Österreichischer Rechtsanwaltskammertag,Interessensvertretung,Kammer,Wollzeile 1-3,1010,Wien,Bund,rechtsanwaelte@oerak.at,+43153512750,+431535127513,18.08.2020
Die Grünen,Die Grünen - Die Grüne Alternative,Interessensvertretung,Partei,Würtzlerstraße 3/3,1030,Wien,Bund,bundesbuero@gruene.at,+431401106698,,19.09.2020
FPÖ,Freiheitliche Partei Österreichs,Interessensvertretung,Partei,Friedrich-Schmidt-Platz 4/3a,1080,Wien,Bund,bgst@fpoe.at,+43151235350,+43151235359,19.09.2020
NEOS,NEOS – Das Neue Österreich und Liberales Forum,Interessensvertretung,Partei,Neustiftgasse 73-75/7,1070,Wien,Bund,kontakt@neos.eu,+4315225000,,19.09.2020
SPÖ,"Sozialdemokratische Partei Österreichs, Bundesorganisation",Interessensvertretung,Partei,Löwelstraße 18,1010,Wien,Bund,spoe@spoe.at,+4313910200,,19.09.2020
ÖVP,ÖVP (Österreichische Volkspartei) – Bundespartei,Interessensvertretung,Partei,Lichtenfelsgasse 7,1010,Wien,Bund,email@oevp.at,+431401260,+43140126109,19.09.2020
Bundestheater Holding,Bundestheater-Holding GmbH,Kultur,Museum / Theater / Bibliothek,Goethegasse 1,1010,Wien,Bund,office@bundestheater.at,+431514440,,21.08.2020
Burgtheater,Burgtheater GmbH,Kultur,Museum / Theater / Bibliothek,Universitätsring 2,1010,Wien,Bund,info@burgtheater.at,+431514444545,,21.08.2020
Staatsoper,Wiener Staatsoper GmbH,Kultur,Museum / Theater / Bibliothek,Opernring 2,1010,Wien,Bund,information@wiener-staatsoper.at,+431514442250,+431514442259,21.08.2020
Volksoper,Volksoper Wien,Kultur,Museum / Theater / Bibliothek,Währinger Straße 78,1090,Wien,Bund,office@volksoper.at,+431514440,+431514443215,21.08.2020
Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,Sozialleistungen,Dienstleister,"Parlament, Dr.-Karl-Renner-Ring 3",1017,Wien-Parlament,Bund,nf-sekretariat@nationalfonds.org,+4314081263,,21.08.2020
Austria Wirtschaftsservice,Austria Wirtschaftsservice Gesellschaft m.b.H.,Wirtschaftsförderung,Dienstleister,Walcherstraße 11A,1020,Wien,Bund,post@aws.at,+431501750,+43150175900,21.08.2020
Dorotheum,Dorotheum GmbH & Co KG,Wirtschaftsförderung,Dienstleister,Dorotheergasse 17,1010,Wien,Bund,client.services@dorotheum.at,+431515600,+43151560443,22.08.2020
BH Eisenstadt-Umgebung,Bezirkshauptmannschaft Eisenstadt-Umgebung,Bezirksbehörde,Administration,Ing. Julius Raab-Straße 1,7000,Eisenstadt,Burgenland,bh.eisenstadt@bgld.gv.at,+4357600,+435760074177,25.08.2020
