"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
38,"SFU","Sigmund Freud Privatuniversität Wien","Bildung","Privatuniversität","Freudplatz 1",1020,"Österreich","rektorat@sfu.ac.at","'+4317984098",,"24.08.2020"
39,"Modul University Vienna","Modul University Vienna GmbH","Bildung","Privatuniversität","Am Kahlenberg 1",1190,"Österreich","office@modul.ac.at","'+4313203555","'+4313203555902","24.08.2020"
40,"MUK","Musik und Kunst Privatuniversität der Stadt Wien GmbH","Bildung","Privatuniversität","Johannesgasse 4a",1010,"Österreich","office@muk.ac.at","'+4315127747","'+43151277477913","24.08.2020"
41,"Webster Vienna Private University","Webster Vienna Private University","Bildung","Privatuniversität","Praterstrasse 23",1020,"Österreich","info@webster.ac.at","'+43126992930",,"24.08.2020"
42,"FH Burgenland","Fachhochschule Burgenland GmbH","Bildung","Fachhochschule","Campus 1",7000,"Österreich","office@fh-burgenland.at","'+4357705","'+43577051199","24.08.2020"
43,"FH Kärnten","Fachhochschule Kärnten - Gemeinnützige Privatstiftung","Bildung","Fachhochschule","Villacher Straße 1",9800,"Österreich","info@fh-kaernten.at","'+43590500","'+435905009910","24.08.2020"
44,"IMC Fachhochschule Krems","IMC Fachhochschule Krems GmbH","Bildung","Fachhochschule","Piaristengasse 1",3500,"Österreich","datenschutz@fh-krems.ac.at","'+432732802",,"24.08.2020"
45,"FH St. Pölten","Fachhochschule St. Pölten GmbH","Bildung","Fachhochschule","Matthias Corvinus-Straße 15",3100,"Österreich","csc@fhstp.ac.at","'+432742313228200","'+432742313228339","24.08.2020"
46,"FH Wiener Neustadt","Fachhochschule Wiener Neustadt GmbH","Bildung","Fachhochschule","Johannes Gutenberg-Straße 3",2700,"Österreich","office@fhwn.ac.at","'+432622890840","'+4326228908499","24.08.2020"
47,"FH Oberösterreich","FH OÖ Studienbetriebs GmbH","Bildung","Fachhochschule","Roseggerstraße 15",4600,"Österreich","info@fh-ooe.at","+435080410","+435080411900","24.08.2020"
48,"FH Salzburg","Fachhochschule Salzburg GmbH","Bildung","Fachhochschule","Urstein Süd 1",5412,"Österreich","medien@fh-salzburg.ac.at","'+435022110","'+435022111099","24.08.2020"
49,"FH Campus 02","CAMPUS 02 Fachhochschule der Wirtschaft GmbH","Bildung","Fachhochschule","Körblergasse 126",8010,"Österreich","info@campus02.at","+433166002177","+4331660021207","24.08.2020"
50,"FH Joanneum","FH Joanneum Gesellschaft mbH","Bildung","Fachhochschule","Alte Poststraße 149",8020,"Österreich","info@fh-joanneum.at","+4331654530",,"24.08.2020"
51,"FH Kufstein","Fachhochschule Kufstein Tirol Bildungs GmbH","Bildung","Fachhochschule","Andreas Hofer-Straße 7",6330,"Österreich","info@fh-kufstein.ac.at","+43537271819","‘+43537271819104","24.08.2020"
52,"FH Vorarlberg","Fachhochschule Vorarlberg GmbH","Bildung","Fachhochschule","Hochschulstraße 1",6850,"Österreich","info@fhv.at","'+435572792","'+4355727929500","24.08.2020"
53,"Fachhochschule des bfi Wien","Fachhochschule des bfi Wien","Bildung","Fachhochschule",,,"Österreich",,,,
54,"Fachhochschule Technikum Wien","Fachhochschule Technikum Wien","Bildung","Fachhochschule",,,"Österreich",,,,
55,"FH Campus Wien","FH Campus Wien","Bildung","Fachhochschule",,,"Österreich",,,,
56,"FHWien","FHWien","Bildung","Fachhochschule",,,"Österreich",,,,
57,"Ferdinand Porsche Fern-Fachhochschule","Ferdinand Porsche Fern-Fachhochschule","Bildung","Fachhochschul-Einrichtung",,,"Österreich",,,,
58,"Theresianische Militärakademie","Theresianische Militärakademie","Bildung","Fachhochschul-Einrichtung",,,"Österreich",,,,
59,"FH Gesundheitsberufe Oberösterreich","FH Gesundheitsberufe Oberösterreich","Bildung","Fachhochschul-Einrichtung",,,"Österreich",,,,
60,"FH Gesundheit Tirol","FH Gesundheit Tirol","Bildung","Fachhochschul-Einrichtung",,,"Österreich",,,,
61,"Management Center Innsbruck","Management Center Innsbruck","Bildung","Fachhochschul-Einrichtung",,,"Österreich",,,,
62,"Lauder Business School","Lauder Business School","Bildung","Fachhochschul-Einrichtung",,,"Österreich",,,,
63,"Private Pädagogische Hochschule Burgenland","Private Pädagogische Hochschule Burgenland","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
64,"Pädagogische Hochschule Kärnten","Pädagogische Hochschule Kärnten","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
65,"Pädagogische Hochschule Niederösterreich","Pädagogische Hochschule Niederösterreich","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
66,"Pädagogische Hochschule Oberösterreich","Pädagogische Hochschule Oberösterreich","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
67,"Pädagogische Hochschule Salzburg","Pädagogische Hochschule Salzburg","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
68,"Pädagogische Hochschule Steiermark","Pädagogische Hochschule Steiermark","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
69,"Pädagogische Hochschule Tirol","Pädagogische Hochschule Tirol","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
70,"Pädagogische Hochschule Vorarlberg","Pädagogische Hochschule Vorarlberg","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
71,"Pädagogische Hochschule Wien","Pädagogische Hochschule Wien","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
72,"Kirchliche Pädagogische Hochschule Graz","Kirchliche Pädagogische Hochschule Graz","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
73,"Private Pädagogische Hochschule der Diözese Linz","Private Pädagogische Hochschule der Diözese Linz","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
74,"Kirchliche Pädagogische Hochschule Wien/Krems","Kirchliche Pädagogische Hochschule Wien/Krems","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
75,"Kirchliche Pädagogische Hochschule – Edith Stein mit den Standorten Feldkirch","Kirchliche Pädagogische Hochschule – Edith Stein mit den Standorten Feldkirch","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
76,"Hochschule für Agrar- und Umweltpädagogik","Hochschule für Agrar- und Umweltpädagogik","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
77,"Jüdische Pädagogische Akademie","Jüdische Pädagogische Akademie","Bildung","Pädagogische Hochschule",,,"Österreich",,,,
