"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
12,"Mobilitätszentrale Burgenland",,"Auskunfteien","Auskunfteien","Domplatz 26",7000,"Österreich","office@b-mobil.info","+43268221070",,
13,"payolution GmbH",,"Auskunfteien","Auskunfteien","Am Euro-Platz 2",1120,"Österreich","office@payolution.com","+4312360230",,
14,"PROINFORM Wirtschaftsinformationen GmbH",,"Auskunfteien","Auskunfteien","Alter Markt 37,",5211,"Österreich","info@proinform.at","+4377463854",,
15,"CRIF GmbH",,"Auskunfteien","Auskunfteien","Diefenbachgasse 35",1150,"Österreich","auskunft@crif.com","+431897424428","+431897424431",
16,"infoscore austria gmbh",,"Auskunfteien","Auskunfteien","Weyringergasse 1",1040,"Österreich","info@infoscore.at","+43150364090","+4315036490968",
17,"Wiener Linien GmbH & Co KG",,"Infrastruktur","Verkehr","Erdbergstraße 202",1031,"Österreich","post@wienerlinien.at","+43 1 7909 - 0","+43 1 7909 - 24609",
18,"Österreichische Post AG ",,"Infrastruktur","Zustellung","Rochusplatz 1",1030,"Österreich","kundenservice@post.at  ","+43 577 67 - 0","+43  577 67 - 22071",
19,"dm drogerie markt GmbH",,"Einzelhandel","Kundenkarte","Günter-Bauer-Straße 1",5071,"Österreich","kundenservice@dm.at","+43 662/8583 - 0","+43 662/8583 - 1111",
20,"Dorotheum GmbH & Co KG",,"Einzelhandel","Kundenkarte","Dorotheergasse 17",1010,"Österreich","client.services@dorotheum.at","+43 1-515 60-0","+43 1-515 60-443",
21,"Conrad Electronic GmbH & Co KG",,"Einzelhandel","Kundenkarte","Durisolstraße 2",4600,"Österreich","sales@conrad.at","+4350 - 20 40 40","+4350 - 20 40 44",
22,"Lieb Markt GmbH",,"Einzelhandel","Kundenkarte","Birkfelder Straße 40",8160,"Österreich",,"+43 (3172) 2417-0",,
23,"EDUSCHO (Austria) GmbH",,"Einzelhandel","Kundenkarte","Gadnergasse 71",1110,"Österreich","service@eduscho.at","+43 1 766 22 - 0","+43 1 766 22 - 2297",
24,"LIBRO Handelsgesellschaft mbH",,"Einzelhandel","Kundenkarte","Industriestrasse 7a",2353,"Österreich","info@libro.at","+432236 80 99 0","+432236 80 99 219",
25,"XXXLutz KG",,"Einzelhandel","Kundenkarte","Römerstraße 39",4600,"Österreich","kundenservice@lutz.at  ","+43 50 111 100 0 ","+437242 438 81 ",
26,"Strandmeister",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
27,"Obi",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
28,"Hartlauer",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
29,"Peek & Cloppenburg",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
30,"Hervis Sports",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
31,"Breddys",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
32,"IKEA Family",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
33,"Cineplexx",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
34,"Deichmann",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
35,"denn's",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
36,"ÖBB Personenverkehrs AG",,"Infrastruktur","Verkehr",,,"Österreich",,,,
37,"H&M",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
38,"McDonalds",,"Einzelhandel","Kundenkarte",,,"Österreich",,,,
39,"A1",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
40,"bob",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
41,"Drei",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
42,"educom",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
43,"eety",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
44,"Ge org!",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
45,"HoT",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
46,"Red Bull Mobile",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
47,"spusu",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
48,"T-Mobile",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
49,"tele.ring",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
50,"UPC Mobile",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
51,"Yesss",,"Infrastruktur","Mobilfunk",,,"Österreich",,,,
52,"car2go",,"Infrastruktur","Verkehr",,,"Österreich",,,,
53,"VOR Verkehrsverbund Ost Region",,"Infrastruktur","Verkehr",,,"Österreich",,,,
54,"OOE Oberösterreichischer Verkehrsverbund",,"Infrastruktur","Verkehr",,,"Österreich",,,,
55,"zipcar",,"Infrastruktur","Verkehr",,,"Österreich",,,,
56,"Verkehrsverbund Tirol",,"Infrastruktur","Verkehr",,,"Österreich",,,,
57,"Verkehrsverbund Vorarlberg",,"Infrastruktur","Verkehr",,,"Österreich",,,,
58,"VVNB",,"Infrastruktur","Verkehr",,,"Österreich",,,,
59,"Verkehrsverbund Steiermark",,"Infrastruktur","Verkehr",,,"Österreich",,,,
60,"AAE",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
61,"E wie Einfach",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
62,"E-Werk Gösting",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
63,"E-Werk Gries am Brenner",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
64,"E-Werk Wels",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
65,"E-Werke Frastanz",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
66,"easy green energy",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
67,"Enamo Ökostrom",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
68,"Energie AG Oberösterreich",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
69,"Energie Burgenland",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
70,"Energie Graz",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
71,"Energie Klagenfurt",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
72,"Energie Ried",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
73,"Energie Steiermark",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
74,"Energieallianz",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
75,"erdgas oö.",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
76,"EVN",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
77,"Fernwärme Wien",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
78,"Gastino",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
79,"goldgas",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
80,"Innsbrucker Kommunalbetriebe",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
81,"ista",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
82,"Kelag",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
83,"Lichtgenossenschaft Neunkirchen",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
84,"Linz AG",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
85,"Maxenergy",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
86,"MeinAlpenStrom",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
87,"Montafonerbahn",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
88,"Montana",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
89,"MyElectric",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
90,"Naturkraft",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
91,"oekostrom",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
92,"PST Energie",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
93,"Pullstrom",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
94,"Salzburg AG",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
95,"schlaustrom",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
96,"Stadtbetriebe Steyr",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
97,"Stadtwerke Bregenz",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
98,"Stadtwerke Feldkirch",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
99,"Stadtwerke Hall in Tirol",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
100,"Stadtwerke Judenburg",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
101,"Stadtwerke Kapfenberg",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
102,"Stadtwerke Leoben",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
103,"Stadtwerke Schwaz",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
104,"Stadtwerke Wörgl",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
105,"stromdiskont.at",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
106,"switch",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
107,"Tigas",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
108,"Tiwag",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
109,"Unsere Wasserkraft",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
110,"Verbund",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
111,"VKW",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
112,"Voltino",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
113,"Vorarlberger Erdgas",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
114,"Weizer Naturenergie",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
115,"Wiener Netze",,"Infrastruktur","Energieversorger",,,"Österreich",,,,
