"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
11,"MA 21 A - Stadtteilplanung und Flächenwidmung Innen-Südwest","Magistratsabteilung 21 A - Stadtteilplanung und Flächenwidmung Innen-Südwest","Landesbehörde","Administration","Rathausstraße 14-16",1010,"post@ma21a.wien.gv.at",,"+431400088116","+43140009988116",,"19.08.2020"
12,"MA 21 B - Stadtteilplanung und Flächenwidmung Nordost","Magistratsabteilung 21 B - Stadtteilplanung und Flächenwidmung Nordost","Landesbehörde","Administration","Rathausstraße 14-16",1010,"post@ma21b.wien.gv.at",,"+431400088116","+43140009988116",,"19.08.2020"
13,"MA 22 - Umweltschutz","Magistratsabteilung 22 - Umweltschutz","Landesbehörde","Administration","Dresdner Straße 45",1200,"post@ma22.wien.gv.at",,,"+43140009973415",,"19.08.2020"
14,"MA 23 - Wirtschaft, Arbeit und Statistik","Magistratsabteilung 23 - Wirtschaft, Arbeit und Statistik","Landesbehörde","Administration","Meiereistraße 7",1020,"post@ma23.wien.gv.at",,"+431400083057","+431400083050",,"19.08.2020"
15,"MA 24 - Strategische Gesundheitsversorgung","Magistratsabteilung 24 - Strategische Gesundheitsversorgung","Landesbehörde","Administration","Brigittenauer Lände 50-54",1200,"post@ma24.wien.gv.at",,"+431400084200","+43140009984200",,"19.08.2020"
16,"MA 25 - Technische Stadterneuerung","Magistratsabteilung 25 - Technische Stadterneuerung","Landesbehörde","Administration","Maria-Restituta-Platz 1",1200,"post@ma25.wien.gv.at",,"+43140008025","+4314000998025",,"19.08.2020"
17,"MA 27 - Europäische Angelegenheiten","Magistratsabteilung 27 - Europäische Angelegenheiten","Landesbehörde","Administration","Friedrich-Schmidt-Platz 3",1080,"post@ma27.wien.gv.at",,"+4314000","+43140009927027",,"19.08.2020"
18,"MA 28 - Straßenverwaltung und Straßenbau","Magistratsabteilung 28 - Straßenverwaltung und Straßenbau","Landesbehörde","Administration","Lienfeldergasse 96",1170,"post@ma28.wien.gv.at",,,"+43140009949610",,"19.08.2020"
19,"MA 29 - Brückenbau und Grundbau","Magistratsabteilung 29 - Brückenbau und Grundbau","Landesbehörde","Administration","Wilhelminenstraße 93",1160,"post@ma29.wien.gv.at",,"+431400096915","+43140009996480",,"19.08.2020"
20,"MA 3 - Bedienstetenschutz und berufliche Gesundheitsförde","Magistratsabteilung 3 - Bedienstetenschutz und berufliche Gesundheitsförde","Landesbehörde","Administration","Hermanngasse 24-26",1070,"post@ma03.wien.gv.at",,"+431400075050","+43140009975050",,"19.08.2020"
21,"MA 31 - Wiener Wasser","Magistratsabteilung 31 - Wiener Wasser","Landesbehörde","Administration","Grabnergasse 4-6",1060,"post@ma31.wien.gv.at",,"+43159959","+431599599931326",,"19.08.2020"
22,"MA 33 - Wien leuchtet","Magistratsabteilung 33 - Wien leuchtet","Landesbehörde","Administration","Senngasse 2",1110,"post@ma33.wien.gv.at",,"+431400033011","+43140009933000",,"19.08.2020"
23,"MA 34 - Bau- und Gebäudemanagement","Magistratsabteilung 34 - Bau- und Gebäudemanagement","Landesbehörde","Administration","Muthgasse 62",1190,"post@ma34.wien.gv.at",,"+43140008034","+4314000998034",,"19.08.2020"
24,"MA 35 - Einwanderung und Staatsbürgerschaft","Magistratsabteilung 35 - Einwanderung und Staatsbürgerschaft","Landesbehörde","Administration","Dresdner Straße 93",1200,"post@ma35.wien.gv.at",,,"+43140009935010",,"19.08.2020"
25,"MA 36 - Gewerbetechnik, Feuerpolizei und Veranstaltungen","Magistratsabteilung 36 - Gewerbetechnik, Feuerpolizei und Veranstaltungen","Landesbehörde","Administration","Dresdner Straße 73-75",1200,"post@ma36.wien.gv.at",,"+431400036110","+43140009936110",,"19.08.2020"
26,"MA 37 - Baupolizei","Magistratsabteilung 37 - Baupolizei","Landesbehörde","Administration","Dresdner Straße 73-75",1200,"post@ma37.wien.gv.at",,,"+43140009937010",,"19.08.2020"
27,"MA 39 - Prüf-, Inspektions- und Zertifizierungsstelle","Magistratsabteilung 39 - Prüf-, Inspektions- und Zertifizierungsstelle","Landesbehörde","Administration","Rinnböckstraße 15",1110,"post@ma39.wien.gv.at",,"+43140008039","+4314000998039",,"19.08.2020"
28,"MA 40 - Soziales, Sozial- und Gesundheitsrecht","Magistratsabteilung 40 - Soziales, Sozial- und Gesundheitsrecht","Landesbehörde","Administration","Thomas-Klestil-Platz 8",1030,"post@ma40.wien.gv.at",,"+431400040415","+43140009940419",,"19.08.2020"
29,"MA 41 - Stadtvermessung","Magistratsabteilung 41 - Stadtvermessung","Landesbehörde","Administration","Muthgasse 62",1190,"post@ma41.wien.gv.at",,"+431400089115","+4314000998041",,"19.08.2020"
30,"MA 42 - Wiener Stadtgärten","Magistratsabteilung 42 - Wiener Stadtgärten","Landesbehörde","Administration","Johannesgasse 35",1030,"post@ma42.wien.gv.at",,"+43140008042","+43140009942089",,"19.08.2020"
31,"MA 44 - Bäder","Magistratsabteilung 44 - Bäder","Landesbehörde","Administration","Reumannplatz 23",1100,"post@ma44.wien.gv.at",,"+4316011244115","+431601129944014",,"19.08.2020"
32,"MA 45 - Wiener Gewässer","Magistratsabteilung 45 - Wiener Gewässer","Landesbehörde","Administration","Am Brigittenauer Sporn 7",1200,"post@ma45.wien.gv.at",,"+431400096520","+431400096548",,"19.08.2020"
33,"MA 46 - Verkehrsorganisation und technische Verkehrsangele","Magistratsabteilung 46 - Verkehrsorganisation und technische Verkehrsangele","Landesbehörde","Administration","Niederhofstraße 21-23",1120,"post@ma46.wien.gv.at",,"+431400092615","+43140009992637",,"19.08.2020"
34,"MA 48 - Abfallwirtschaft, Straßenreinigung und Fuhrpark","Magistratsabteilung 48 - Abfallwirtschaft, Straßenreinigung und Fuhrpark","Landesbehörde","Administration","Einsiedlergasse 2",1050,"post@ma48.wien.gv.at",,"+43140000","+431400099480037",,"19.08.2020"
35,"MA 49 - Forst- und Landwirtschaftsbetrieb","Magistratsabteilung 49 - Forst- und Landwirtschaftsbetrieb","Landesbehörde","Administration","Triester Straße 114",1100,"post@ma49.wien.gv.at",,"+431400049000","+43140009949099",,"19.08.2020"
36,"MA 5 - Finanzwesen","Magistratsabteilung 5 - Finanzwesen","Landesbehörde","Administration","Ebendorferstraße 2",1010,"post@ma05.wien.gv.at",,"+431400086515","+43140009986510",,"19.08.2020"
37,"MA 50 - Wohnbauförderung und Schlichtungsstelle für wohnre","Magistratsabteilung 50 - Wohnbauförderung und Schlichtungsstelle für wohnre","Landesbehörde","Administration","Muthgasse 62",1190,"post@ma50.wien.gv.at",,"+43140008050","+43140009974810",,"19.08.2020"
38,"MA 51 - Sport Wien","Magistratsabteilung 51 - Sport Wien","Landesbehörde","Administration","Meiereistraße 7",1020,"post@ma51.wien.gv.at",,"+431400051151","+43140009951151",,"19.08.2020"
39,"MA 53 - Presse- und Informationsdienst","Magistratsabteilung 53 - Presse- und Informationsdienst","Landesbehörde","Administration","Lichtenfelsgasse 2",1010,"post@ma53.wien.gv.at",,"+431400081015","+43140009981015",,"19.08.2020"
40,"MA 54 - Zentraler Einkauf","Magistratsabteilung 54 - Zentraler Einkauf","Landesbehörde","Administration","Simone-de-Beauvoir-Platz 6",1220,"post@ma54.wien.gv.at",,,"+43140009954100",,"19.08.2020"
41,"MA 56 - Wiener Schulen","Magistratsabteilung 56 - Wiener Schulen","Landesbehörde","Administration","Mollardgasse 87",1060,"post@ma56.wien.gv.at",,"+4315991695010","+431599169995010",,"19.08.2020"
42,"MA 57 - Frauenservice Wien","Magistratsabteilung 57 - Frauenservice Wien","Landesbehörde","Administration","Friedrich-Schmidt-Platz 3",1080,"frauen@ma57.wien.gv.at",,"+431400083515","+43140009983511",,"19.08.2020"
43,"MA 58 - Wasserrecht","Magistratsabteilung 58 - Wasserrecht","Landesbehörde","Administration","Dresdner Straße 73-75",1200,"post@ma58.wien.gv.at",,"+431400096815","+43140009996810",,"19.08.2020"
44,"MA 59 - Marktamt","Magistratsabteilung 59 - Marktamt","Landesbehörde","Administration","Spittelauer Lände 45",1090,"post@ma59.wien.gv.at",,"+431400059210","+43140009959210",,"19.08.2020"
45,"MA 6 - Rechnungs- und Abgabenwesen","Magistratsabteilung 6 - Rechnungs- und Abgabenwesen","Landesbehörde","Administration","Ebendorferstraße 2",1010,"post@ma06.wien.gv.at",,"+431400086019","+43140009986010",,"19.08.2020"
46,"MA 60 - Veterinäramt und Tierschutz","Magistratsabteilung 60 - Veterinäramt und Tierschutz","Landesbehörde","Administration","Karl-Farkas-Gasse 16",1030,"post@ma60.wien.gv.at",,"+43140008060","+43140009997619",,"19.08.2020"
47,"MA 62 - Wahlen und verschiedene Rechtsangelegenheiten","Magistratsabteilung 62 - Wahlen und verschiedene Rechtsangelegenheiten","Landesbehörde","Administration","Lerchenfelder Straße 4",1082,"post@ma62.wien.gv.at",,"+431400089424","+43140009989400",,"19.08.2020"
48,"MA 63 - Gewerberecht, Datenschutz und Personenstand","Magistratsabteilung 63 - Gewerberecht, Datenschutz und Personenstand","Landesbehörde","Administration","Wipplingerstraße 6-8",1010,"post@ma63.wien.gv.at",,"+431400097097","+43140009997115",,"19.08.2020"
49,"MA 64 - Bau-, Energie-, Eisenbahn- und Luftfahrtrecht","Magistratsabteilung 64 - Bau-, Energie-, Eisenbahn- und Luftfahrtrecht","Landesbehörde","Administration","Lerchenfelder Straße 4",1080,"post@ma64.wien.gv.at",,"+431400089919","+43140009989910",,"19.08.2020"
50,"MA 65 - Rechtliche Verkehrsangelegenheiten","Magistratsabteilung 65 - Rechtliche Verkehrsangelegenheiten","Landesbehörde","Administration","Ungargasse 33",1030,"post@ma65.wien.gv.at",,"+43140003830","+431795149938319",,"19.08.2020"
51,"MA 67 - Parkraumüberwachung","Magistratsabteilung 67 - Parkraumüberwachung","Landesbehörde","Administration","Dresdner Straße 81-85",1200,"post@ma67.wien.gv.at",,"+43140006700","+43140009967010",,"19.08.2020"
52,"MA 68 - Feuerwehr und Katastrophenschutz","Magistratsabteilung 68 - Feuerwehr und Katastrophenschutz","Landesbehörde","Administration","Am Hof 9-10",1010,"post@ma68.wien.gv.at",,"+431531990","+4315319951209",,"19.08.2020"
53,"MA 69 - Immobilienmanagement","Magistratsabteilung 69 - Immobilienmanagement","Landesbehörde","Administration","Lerchenfelder Straße 4",1080,"post@ma69.wien.gv.at",,"+43140008069","+43140009969600",,"19.08.2020"
54,"MA 7 - Kultur","Magistratsabteilung 7 - Kultur","Landesbehörde","Administration","Friedrich-Schmidt-Platz 5",1080,"post@ma07.wien.gv.at",,"+431400084719","+4314000998007",,"19.08.2020"
55,"MA 70 - Berufsrettung Wien","Magistratsabteilung 70 - Berufsrettung Wien","Landesbehörde","Administration","Radetzkystraße 1",1030,"post@ma70.wien.gv.at",,"+431711190",,,"19.08.2020"
56,"MA 8 - Wiener Stadt- und Landesarchiv","Magistratsabteilung 8 - Wiener Stadt- und Landesarchiv","Landesbehörde","Administration","Guglgasse 14",1110,"post@ma08.wien.gv.at",,"+431400084808","+431400084809",,"19.08.2020"
