"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
15,"KFA der Beamten der Gemeinde Bad Gastein","Krankenversicherungsfonds der Beamten der Gemeinde Bad Gastein","Gesundheit","Krankenfürsorgeanstalt","Kaiser-Franz-Josef-Straße 1","5640",,,"+436434374423",,,"20.08.2020"
16,"MOZ","Universität Mozarteum Salzburg","Bildung","Universität","Mirabellplatz 1",5020,"info@moz.ac.at",,"'+4366261980","'+4366261983033",,"23.08.2020"
17,"Uni Salzburg","Paris-Lodron-Universität Salzburg","Bildung","Universität","Kapitelgasse 4",5020,"datenschutz@sbg.ac.at",,"'+4366280440","'+436628044145",,"24.08.2020"
18,"PMU","Paracelsus Medizinische Privatuniversität Salzburg – Privatstiftung","Bildung","Privatuniversität","Strubergasse 21",5020,"datenschutz@pmu.ac.at",,"'+4366224200","+43662242080009",,"24.08.2020"
19,"Uni Seeburg","Privatuniversität Schloss Seeburg GmbH","Bildung","Privatuniversität","Seeburgstraße 8",5201,"info@uni-seeburg.at",,"'+43621226260",,,"24.08.2020"
20,"FH Salzburg","Fachhochschule Salzburg GmbH","Bildung","Fachhochschule","Urstein Süd 1",5412,"medien@fh-salzburg.ac.at",,"'+435022110","'+435022111099",,"24.08.2020"
21,"PH Salzburg","Pädagogische Hochschule Salzburg Stefan Zweig","Bildung","Pädagogische Hochschule","Akademiestraße 23-25",5020,"office@phsalzburg.at",,"+4366263880","+4366263881010",,"24.08.2020"
22,"FPÖ","Die Freiheitlichen, Landespartei Salzburg","Interessensvertretung","Partei","Ginzkeyplatz 10/I/1/3",5020,"salzburg@fpoe.at ",,"+436626281200","+4366262812033",,"19.09.2020"
23,"KPÖ","KPÖ PLUS Salzburg","Interessensvertretung","Partei","Elisabethstraße 11",5020,"salzburg@kpoe-plus.at",,,,,"19.09.2020"
24,"SPÖ","Sozialdemokratische Partei Österreichs - Landesorganisation Salzburg","Interessensvertretung","Partei","Wartelsteinstrasse 1",5020,"webseite.salzburg@spoe.at",,"+436624245000","+43662424500190",,"19.09.2020"
25,"Die Grünen","Die GRÜNEN Salzburg","Interessensvertretung","Partei","Glockengasse 6",5020,"salzburg@gruene.at",,"+43662876337","+4366287633722",,"19.09.2020"
26,"NEOS","NEOS – Das Neue Österreich und Liberales Forum","Interessensvertretung","Partei","Haydnstraße 10",5020,"salzburg@neos.eu",,"+4366488782432",,,"19.09.2020"
27,"Liste SALZ","Dr. Christoph Ferch","Interessensvertretung","Partei","Mirabellplatz 4, Zimmer 108",5024,"kontakt@liste-salz.at",,"+4366280722851",,,"19.09.2020"
28,"ÖVP","Salzburger Volkspartei","Interessensvertretung","Partei","Merianstraße 13",5020,"info@oevp-sbg.at",,"+4366286980","+436628698018",,"19.09.2020"
