"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
11,"Ärztekammer Niederösterreich","Ärztekammer Niederösterreich","Interessensvertretung","Kammer","Wipplingerstraße 2",1010,"arztnoe@arztnoe.at","+431537510","+4315375119","18.08.2020"
12,"Apothekerkammer Niederösterreich","Apothekerkammer Niederösterreich","Interessensvertretung","Kammer","Spitalgasse 31",1091,"noe@apothekerkammer.at","+43140414162","+4314088818","18.08.2020"
13,"Arbeiterkammer Niederösterreich","Kammer für Arbeiter und Angestellte für Niederösterreich","Interessensvertretung","Kammer","AK-Platz 1",3100,"mailbox@aknoe.at","+4357171",,"18.08.2020"
14,"Kammer der Steuerberater und Wirtschaftsprüfer Niederösterreich","Kammer der Steuerberater und Wirtschaftsprüfer Niederösterreich","Interessensvertretung","Kammer","Schönbrunnerstraße 222-228/1/6/2",1120,"office@ksw.or.at","+431811730","+43181173100","18.08.2020"
15,"Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Interessensvertretung","Kammer","Karlsgasse 9/1",1040,"kammer@arching.at","+4315051781","+4315051005","18.08.2020"
16,"NÖ Landarbeiterkammer","Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft in Niederösterreich","Interessensvertretung","Kammer","Marco d'Avianogasse 1/1",1010,"lak@lak-noe.at","+431512160110","+4315139366","18.08.2020"
17,"KFA der Beamten der Stadtgemeinde Baden","Krankenfürsorge der Beamten der Stadtgemeinde Baden","Gesundheit","Krankenfürsorgeanstalt","Hauptplatz 1","2500",,"'+4373270701241",,"20.08.2020"
18,"Donau Uni","Universität für Weiterbildung Krems","Bildung","Universität","Dr.-Karl-Dorrek-Straße 30",3500,"info@donau-uni.ac.at","'+4327328930","'+4327328934000","23.08.2020"
19,"Bertha von Suttner Privatuniversität","Bertha von Suttner Privatuniversität St. Pölten GmbH","Bildung","Privatuniversität","Matthias Corvinus-Straße 15",3100,"office@suttneruni.at","'+432742313228800",,"24.08.2020"
20,"DPU","Danube Private University GmbH","Bildung","Privatuniversität","Steiner Landstraße 124",3500,"info@dp-uni.ac.at","'+43676842419305",,"24.08.2020"
21,"NDU","New Design University Privatuniversität GesmbH","Bildung","Privatuniversität","Mariazeller Straße 97a",3100,"office@ndu.ac.at","'+4327428902411","'+4327428902413","24.08.2020"
22,"IMC Fachhochschule Krems","IMC Fachhochschule Krems GmbH","Bildung","Fachhochschule","Piaristengasse 1",3500,"datenschutz@fh-krems.ac.at","'+432732802",,"24.08.2020"
23,"FH St. Pölten","Fachhochschule St. Pölten GmbH","Bildung","Fachhochschule","Matthias Corvinus-Straße 15",3100,"csc@fhstp.ac.at","'+432742313228200","'+432742313228339","24.08.2020"
24,"FH Wiener Neustadt","Fachhochschule Wiener Neustadt GmbH","Bildung","Fachhochschule","Johannes Gutenberg-Straße 3",2700,"office@fhwn.ac.at","'+432622890840","'+4326228908499","24.08.2020"
25,"Ferdinand Porsche FernFH","Ferdinand Porsche Fern-Fachhochschule GmbH","Bildung","Fachhochschul-Einrichtung","Ferdinand Porsche Ring 3",2700,"office@fernfh.ac.at","+43262232600",,"24.08.2020"
26,"MilAk","Theresianische Militärakademie","Bildung","Fachhochschul-Einrichtung","Burgplatz 1",2700,"redaktion.milak@bmlv.gv.at","+43502012028901",,"24.08.2020"
27,"PH Niederösterreich","Pädagogische Hochschule Niederösterreich","Bildung","Pädagogische Hochschule","Mühlgasse 67",2500,"support@ph-noe.ac.at","+43225288570108",,"24.08.2020"
28,"KPH Wien/Krems","Kirchliche Pädagogische Hochschule Wien/Krems","Bildung","Pädagogische Hochschule","Mayerweckstraße 1",1210,"datenschutz@kphvie.ac.at","+431291080","+43129108402","24.08.2020"
29,"KL","Karl Landsteiner Privatuniversität für Gesundheitswissenschaften GmbH","Bildung","Privatuniversität","Dr.-Karl-Dorrek-Straße 30",3500,"office@kl.ac.at","'+432732720900","+43273272090500","24.08.2020"
